"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 89","186.3900","183.0200","186.3900","176.3300","-","2.62%"
"Jan 89","181.6400","184.6900","187.8000","181.5800","-","-1.50%"
"Dec 88","184.4100","175.4100","184.4100","172.9500","-","5.98%"
"Nov 88","174.0100","166.4600","174.0100","161.8000","-","4.20%"
"Oct 88","166.9900","161.1600","171.0300","159.3900","-","2.97%"
"Sep 88","162.1800","167.7600","169.5900","162.1800","-","-3.21%"
"Aug 88","167.5600","170.0900","170.6800","165.4400","-","-1.12%"
"Jul 88","169.4500","171.5700","175.7900","166.9200","-","-1.06%"
"Jun 88","171.2700","178.3000","179.8100","170.8700","-","-3.78%"
"May 88","177.9900","170.7000","177.9900","170.7000","-","1.70%"
"Apr 88","175.0100","170.8200","177.0700","169.7800","-","2.23%"
"Mar 88","171.2000","162.5100","172.3200","160.2100","-","4.52%"
"Feb 88","163.7900","166.3000","172.1600","163.1300","-","-1.70%"
"Jan 88","166.6300","169.7400","171.7200","165.9500","-","1.40%"
"Dec 87","164.3300","171.4700","171.7900","158.3200","-","-4.26%"
"Nov 87","171.6400","171.6500","173.5400","169.3200","-","-1.50%"
"Oct 87","174.2500","175.1400","180.1100","174.2500","-","0.37%"
"Sep 87","173.6100","173.5600","175.6100","171.9500","-","-0.12%"
"Aug 87","173.8100","180.8600","180.8600","168.7800","-","-2.25%"
"Jul 87","177.8100","176.7100","179.6700","171.9200","-","1.16%"
"Jun 87","175.7700","172.9900","176.1700","172.5800","-","1.97%"
"May 87","172.3800","170.6500","176.2400","170.6500","-","1.29%"
"Apr 87","170.1800","165.0000","170.1800","162.0100","-","3.37%"
"Mar 87","164.6300","154.1400","165.6200","154.1400","-","6.64%"
"Feb 87","154.3800","164.4800","164.4800","152.8900","-","-6.75%"
"Jan 87","165.5500","160.1200","165.5500","159.7300","-","3.94%"
"Dec 86","159.2700","162.6800","162.6800","157.6900","-","-0.93%"
"Nov 86","160.7700","160.6800","162.5000","158.7700","-","0.33%"
"Oct 86","160.2400","159.1900","161.5000","155.7900","-","1.26%"
"Sep 86","158.2500","164.9200","165.8300","157.2100","-","-3.48%"
"Aug 86","163.9500","151.7800","163.9500","151.7800","-","9.05%"
"Jul 86","150.3500","151.1500","153.4100","144.3300","-","-1.38%"
