DATE,A229RX0
2011-04-01,38690.0
2011-05-01,38608.0
2011-06-01,38725.0
2011-07-01,38828.0
2011-08-01,38773.0
2011-09-01,38691.0
2011-10-01,38705.0
2011-11-01,38666.0
2011-12-01,39008.0
2012-01-01,39253.0
2012-02-01,39466.0
2012-03-01,39590.0
2012-04-01,39744.0
2012-05-01,39731.0
2012-06-01,39681.0
2012-07-01,39380.0
2012-08-01,39248.0
2012-09-01,39501.0
2012-10-01,39743.0
2012-11-01,40238.0
2012-12-01,41192.0
2013-01-01,38789.0
2013-02-01,38663.0
2013-03-01,38760.0
2013-04-01,38855.0
2013-05-01,39019.0
2013-06-01,39004.0
2013-07-01,38942.0
2013-08-01,39003.0
2013-09-01,39137.0
2013-10-01,38995.0
2013-11-01,39067.0
2013-12-01,39125.0
2014-01-01,39292.0
2014-02-01,39478.0
2014-03-01,39672.0
2014-04-01,39806.0
2014-05-01,39925.0
2014-06-01,40062.0
2014-07-01,40151.0
2014-08-01,40311.0
2014-09-01,40413.0
2014-10-01,40559.0
2014-11-01,40743.0
2014-12-01,40991.0
2015-01-01,41199.0
2015-02-01,41324.0
2015-03-01,41182.0
2015-04-01,41248.0
2015-05-01,41290.0
2015-06-01,41288.0
2015-07-01,41355.0
2015-08-01,41420.0
2015-09-01,41504.0
2015-10-01,41560.0
2015-11-01,41526.0
2015-12-01,41699.0
2016-01-01,41827.0
2016-02-01,41850.0
2016-03-01,41829.0
2016-04-01,41727.0
2016-05-01,41680.0
2016-06-01,41672.0
2016-07-01,41784.0
2016-08-01,41791.0
2016-09-01,41852.0
2016-10-01,41884.0
2016-11-01,41952.0
2016-12-01,42013.0
2017-01-01,42166.0
2017-02-01,42301.0
2017-03-01,42462.0
2017-04-01,42496.0
2017-05-01,42758.0
2017-06-01,42735.0
2017-07-01,42821.0
2017-08-01,42843.0
2017-09-01,42863.0
2017-10-01,42936.0
2017-11-01,42961.0
2017-12-01,43043.0
2018-01-01,43332.0
2018-02-01,43434.0
2018-03-01,43563.0
2018-04-01,43639.0
2018-05-01,43751.0
2018-06-01,43859.0
2018-07-01,43991.0
2018-08-01,44097.0
2018-09-01,44040.0
2018-10-01,44106.0
2018-11-01,44155.0
2018-12-01,44650.0
2019-01-01,44620.0
2019-02-01,44692.0
2019-03-01,44647.0
2019-04-01,44465.0
2019-05-01,44433.0
2019-06-01,44451.0
2019-07-01,44482.0
2019-08-01,44682.0
2019-09-01,44750.0
2019-10-01,44769.0
2019-11-01,44944.0
2019-12-01,44800.0
2020-01-01,45186.0
2020-02-01,45453.0
