"Date","Price","Open","High","Low","Change %"
"Sep 17, 2017","1.8648","1.8120","1.8930","1.8070","3.28%"
"Sep 10, 2017","1.8055","1.6690","1.8120","1.6610","10.33%"
"Sep 03, 2017","1.6365","1.7050","1.7190","1.5990","-5.95%"
"Aug 27, 2017","1.7400","1.7680","1.7700","1.6690","-1.14%"
"Aug 20, 2017","1.7601","1.7750","1.7920","1.7440","-0.22%"
"Aug 13, 2017","1.7639","1.7500","1.8370","1.7280","1.11%"
"Aug 06, 2017","1.7446","1.8260","1.8420","1.7350","-4.00%"
"Jul 30, 2017","1.8173","1.8270","1.8570","1.7800","-0.91%"
"Jul 23, 2017","1.8339","1.7980","1.8930","1.7950","1.71%"
"Jul 16, 2017","1.8031","1.8640","1.8710","1.7950","-3.46%"
"Jul 09, 2017","1.8677","1.9470","1.9540","1.8190","-4.07%"
"Jul 02, 2017","1.9470","1.8950","1.9680","1.8770","3.20%"
"Jun 25, 2017","1.8867","1.7580","1.8930","1.7430","7.41%"
"Jun 18, 2017","1.7565","1.7450","1.8000","1.7300","0.76%"
"Jun 11, 2017","1.7433","1.7760","1.7950","1.6730","-1.31%"
"Jun 04, 2017","1.7664","1.7200","1.7910","1.6920","2.67%"
"May 28, 2017","1.7204","1.7860","1.7910","1.7020","-3.94%"
"May 21, 2017","1.7910","1.7940","1.8430","1.7660","0.60%"
"May 14, 2017","1.7803","1.8450","1.8780","1.7130","-3.51%"
"May 07, 2017","1.8451","1.8980","1.9510","1.8440","-1.85%"
"Apr 30, 2017","1.8799","1.8140","1.9280","1.8030","3.34%"
"Apr 23, 2017","1.8192","1.7700","1.8750","1.7700","2.76%"
"Apr 16, 2017","1.7703","1.7200","1.7870","1.6960","0.35%"
"Apr 09, 2017","1.7641","1.9180","1.9340","1.7440","-8.10%"
"Apr 02, 2017","1.9196","1.9310","1.9390","1.7840","-0.25%"
"Mar 26, 2017","1.9245","1.9150","1.9800","1.8830","-1.39%"
"Mar 19, 2017","1.9517","2.0270","2.0280","1.9080","-3.38%"
"Mar 12, 2017","2.0200","2.1120","2.1470","1.9960","-3.72%"
"Mar 05, 2017","2.0981","2.0060","2.1480","1.9860","4.26%"
"Feb 26, 2017","2.0124","1.8160","2.0610","1.8090","11.42%"
"Feb 19, 2017","1.8061","1.9210","1.9570","1.7990","-5.18%"
"Feb 12, 2017","1.9048","1.9000","2.0200","1.8900","0.97%"
"Feb 05, 2017","1.8865","1.9150","1.9160","1.7940","-1.30%"
"Jan 29, 2017","1.9113","1.9390","1.9840","1.8680","-1.86%"
"Jan 22, 2017","1.9475","1.9120","2.0170","1.8490","0.57%"
"Jan 15, 2017","1.9365","1.8740","1.9970","1.8040","2.00%"
"Jan 08, 2017","1.8986","1.9490","1.9490","1.8150","-1.40%"
"Jan 01, 2017","1.9255","1.9220","2.0030","1.8270","-0.44%"
"Dec 25, 2016","1.9340","2.0380","2.0670","1.9230","-4.71%"
"Dec 18, 2016","2.0296","2.0550","2.0740","2.0070","-2.13%"
"Dec 11, 2016","2.0738","1.9110","2.1240","1.8620","9.88%"
"Dec 04, 2016","1.8873","1.8010","1.8940","1.7880","3.09%"
"Nov 27, 2016","1.8307","1.8220","1.9350","1.7760","-0.35%"
"Nov 20, 2016","1.8371","1.8030","1.9060","1.7490","2.49%"
"Nov 13, 2016","1.7924","1.5900","1.8060","1.5870","15.73%"
"Nov 06, 2016","1.5488","1.3000","1.5600","1.1530","25.37%"
"Oct 30, 2016","1.2354","1.3180","1.3540","1.2290","-6.84%"
"Oct 23, 2016","1.3261","1.2480","1.3680","1.2330","6.70%"
"Oct 16, 2016","1.2428","1.2770","1.2980","1.2160","-3.65%"
"Oct 09, 2016","1.2899","1.3060","1.3320","1.2460","2.37%"
"Oct 02, 2016","1.2600","1.1570","1.3060","1.1480","9.64%"
"Sep 25, 2016","1.1492","1.1560","1.1610","1.0920","-0.87%"
"Sep 18, 2016","1.1593","1.1980","1.2580","1.1510","-3.52%"
"Sep 11, 2016","1.2016","1.2180","1.2700","1.1530","-1.71%"
"Sep 04, 2016","1.2225","1.2030","1.2310","1.1040","2.05%"
"Aug 28, 2016","1.1979","1.2330","1.2350","1.1400","-2.87%"
"Aug 21, 2016","1.2333","1.1870","1.2410","1.1180","5.79%"
"Aug 14, 2016","1.1658","1.0920","1.1790","1.0830","6.39%"
"Aug 07, 2016","1.0958","1.1410","1.1640","1.0570","-3.56%"
"Jul 31, 2016","1.1363","1.0350","1.1400","0.9960","11.17%"
"Jul 24, 2016","1.0221","1.1250","1.1810","1.0200","-8.58%"
"Jul 17, 2016","1.1180","1.1250","1.1690","1.0760","0.54%"
"Jul 10, 2016","1.1120","0.9590","1.1560","0.9560","17.30%"
"Jul 03, 2016","0.9480","0.9910","1.0330","0.9000","-5.58%"
"Jun 26, 2016","1.0040","1.0170","1.0850","0.9260","-6.60%"
"Jun 19, 2016","1.0750","1.1610","1.2640","0.8940","-3.67%"
"Jun 12, 2016","1.1160","1.1490","1.1620","1.0330","-4.53%"
"Jun 05, 2016","1.1690","1.2360","1.2760","1.1570","-4.88%"
"May 29, 2016","1.2290","1.4030","1.4220","1.2230","-11.33%"
"May 22, 2016","1.3860","1.3590","1.4240","1.3430","1.39%"
"May 15, 2016","1.3670","1.2040","1.4190","1.2040","13.26%"
"May 08, 2016","1.2070","1.2390","1.2560","1.1790","-1.87%"
"May 01, 2016","1.2300","1.2880","1.3250","1.1550","-4.95%"
"Apr 24, 2016","1.2940","1.3630","1.4050","1.2750","-4.85%"
"Apr 17, 2016","1.3600","1.1880","1.3670","1.1810","12.21%"
"Apr 10, 2016","1.2120","1.1660","1.2580","1.1400","5.12%"
"Apr 03, 2016","1.1530","1.2140","1.2390","1.1330","-5.80%"
"Mar 27, 2016","1.2240","1.3980","1.4000","1.2050","-11.24%"
"Mar 20, 2016","1.3790","1.2970","1.4280","1.2970","3.30%"
"Mar 13, 2016","1.3350","1.4900","1.5340","1.3230","-10.34%"
"Mar 06, 2016","1.4890","1.3870","1.4990","1.3270","8.21%"
"Feb 28, 2016","1.3760","1.2380","1.4020","1.1850","10.97%"
"Feb 21, 2016","1.2400","1.2280","1.2830","1.1270","1.56%"
"Feb 14, 2016","1.2210","1.2320","1.2900","1.1740","1.24%"
