Date,avg_ret,regime
11/16/2014,0.656607063,1
11/9/2014,0.510690762,1
11/2/2014,0.325230067,1
10/26/2014,3.406428679,2
10/19/2014,4.187487243,2
10/12/2014,0.235319664,1
10/5/2014,-3.955226676,0
9/28/2014,-0.91963779,1
9/21/2014,-1.706655701,1
9/14/2014,0.296356431,1
9/7/2014,-0.830883832,1
8/31/2014,0.022480469,1
8/24/2014,0.931666902,1
8/17/2014,1.671564912,1
8/10/2014,1.399157024,1
8/3/2014,0.667926284,1
7/27/2014,-2.540186036,1
7/20/2014,-0.055313964,1
7/13/2014,0.150465468,1
7/6/2014,-1.945437593,1
6/29/2014,1.518363412,1
6/22/2014,0.182067842,1
6/15/2014,1.598949328,1
6/8/2014,-0.442408738,1
6/1/2014,1.861123934,1
5/25/2014,1.105611417,1
5/18/2014,1.73878365,1
5/11/2014,0.006030693,1
5/4/2014,-0.952031309,1
4/27/2014,0.918919089,1
4/20/2014,-0.555405078,1
4/13/2014,2.532609043,1
4/6/2014,-3.04665774,0
3/30/2014,0.051678133,1
3/23/2014,-1.952553361,1
3/16/2014,1.08934041,1
3/9/2014,-1.947760936,1
3/2/2014,1.102591419,1
2/23/2014,1.299204851,1
2/16/2014,0.447030966,1
2/9/2014,2.628498293,1
2/2/2014,0.148723527,1
1/26/2014,-0.626795563,1
1/19/2014,-2.21405862,1
1/12/2014,0.151482305,1
1/5/2014,0.760456501,1
12/29/2013,-0.495418697,1
12/22/2013,1.279182893,1
12/15/2013,2.774695317,1
12/8/2013,-1.702429886,1
12/1/2013,-0.274378991,1
11/24/2013,0.907859126,1
11/17/2013,0.381985271,1
11/10/2013,1.594118354,1
11/3/2013,0.270723917,1
10/27/2013,-0.671773324,1
10/20/2013,0.678126989,1
10/13/2013,2.750753661,1
10/6/2013,0.359875452,1
9/29/2013,0.273076959,1
9/22/2013,-0.38520727,1
9/15/2013,1.47561403,1
9/8/2013,2.032890019,1
9/1/2013,1.644810991,1
8/25/2013,-2.057670695,1
8/18/2013,1.003157831,1
8/11/2013,-2.045085578,1
8/4/2013,-0.992244109,1
7/28/2013,1.362284689,1
7/21/2013,0.147480396,1
7/14/2013,0.607934095,1
7/7/2013,3.129319296,2
6/30/2013,2.09419336,1
6/23/2013,1.221169029,1
6/16/2013,-2.005669338,1
6/9/2013,-0.976038598,1
6/2/2013,0.543529989,1
5/26/2013,-0.570778941,1
5/19/2013,-1.147344961,1
5/12/2013,2.005576302,1
5/5/2013,1.606944757,1
4/28/2013,2.277761619,1
4/21/2013,2.089784155,1
4/14/2013,-2.547885322,1
4/7/2013,2.39314113,1
3/31/2013,-1.816298863,1
3/24/2013,0.718047756,1
3/17/2013,-0.310543322,1
3/10/2013,0.607131,1
3/3/2013,2.466349765,1
2/24/2013,0.114754606,1
2/17/2013,-0.608235283,1
2/10/2013,0.328327574,1
2/3/2013,0.348922322,1
1/27/2013,0.726327478,1
1/20/2013,1.078485871,1
1/13/2013,0.896087515,1
1/6/2013,0.451484907,1
12/30/2012,4.951403022,2
12/23/2012,-1.927583803,1
12/16/2012,1.798263154,1
12/9/2012,-0.160052145,1
12/2/2012,-0.208715198,1
11/25/2012,1.142324611,1
11/18/2012,3.810304,2
