Date,SP500
2/23/2003,841.15
2/16/2003,848.17
2/9/2003,834.89
2/2/2003,829.69
1/26/2003,855.7
1/19/2003,861.4
1/12/2003,901.78
1/5/2003,927.57
12/29/2002,908.59
12/22/2002,875.4
12/15/2002,895.76
12/8/2002,889.48
12/1/2002,912.23
11/24/2002,936.31
11/17/2002,930.55
11/10/2002,909.83
11/3/2002,894.74
10/27/2002,900.96
10/20/2002,897.65
10/13/2002,884.39
10/6/2002,835.32
9/29/2002,800.58
9/22/2002,827.37
9/15/2002,845.39
9/8/2002,889.81
9/1/2002,893.92
8/25/2002,916.07
8/18/2002,940.86
8/11/2002,928.77
8/4/2002,908.64
7/28/2002,864.24
7/21/2002,852.84
7/14/2002,847.75
7/7/2002,921.39
6/30/2002,989.03
6/23/2002,989.82
6/16/2002,989.14
6/9/2002,1007.27
6/2/2002,1027.53
5/26/2002,1067.14
5/19/2002,1083.82
5/12/2002,1106.59
5/5/2002,1054.99
4/28/2002,1073.43
4/21/2002,1076.32
4/14/2002,1125.17
4/7/2002,1111.01
3/31/2002,1122.73
3/24/2002,1147.39
3/17/2002,1148.7
3/10/2002,1166.16
3/3/2002,1164.31
2/24/2002,1131.78
2/17/2002,1089.84
2/10/2002,1104.18
2/3/2002,1096.22
1/27/2002,1122.2
1/20/2002,1133.28
1/13/2002,1127.58
1/6/2002,1145.6
12/30/2001,1172.51
12/23/2001,1161.02
12/16/2001,1144.89
12/9/2001,1123.09
12/2/2001,1158.31
11/25/2001,1139.45
11/18/2001,1150.34
11/11/2001,1138.65
11/4/2001,1120.31
10/28/2001,1087.2
10/21/2001,1104.61
10/14/2001,1073.48
10/7/2001,1091.65
9/30/2001,1071.38
9/23/2001,1040.94
9/16/2001,965.8
9/9/2001,1092.54
9/2/2001,1085.78
8/26/2001,1133.58
8/19/2001,1184.93
8/12/2001,1161.97
8/5/2001,1190.16
7/29/2001,1214.35
7/22/2001,1205.82
7/15/2001,1210.85
7/8/2001,1215.68
7/1/2001,1190.59
6/24/2001,1224.38
6/17/2001,1225.35
6/10/2001,1214.36
6/3/2001,1264.96
5/27/2001,1260.67
5/20/2001,1277.89
5/13/2001,1291.96
5/6/2001,1245.67
4/29/2001,1266.61
4/22/2001,1253.05
4/15/2001,1242.98
4/8/2001,1183.5
4/1/2001,1128.43
3/25/2001,1160.33
3/18/2001,1139.83
3/11/2001,1150.53
3/4/2001,1233.42
2/25/2001,1234.18
2/18/2001,1245.86
2/11/2001,1301.53
2/4/2001,1314.76
1/28/2001,1349.47
1/21/2001,1354.95
1/14/2001,1342.54
1/7/2001,1318.55
12/31/2000,1298.35
12/24/2000,1320.28
12/17/2000,1305.95
12/10/2000,1312.15
12/3/2000,1369.89
11/26/2000,1315.23
11/19/2000,1341.77
11/12/2000,1367.72
11/5/2000,1365.98
10/29/2000,1426.69
10/22/2000,1379.58
10/15/2000,1396.93
10/8/2000,1374.17
10/1/2000,1408.99
9/24/2000,1436.51
9/17/2000,1448.72
9/10/2000,1465.81
9/3/2000,1494.5
8/27/2000,1520.77
8/20/2000,1506.45
8/13/2000,1491.72
8/6/2000,1471.84
7/30/2000,1462.93
7/23/2000,1419.89
7/16/2000,1480.19
7/9/2000,1509.98
7/2/2000,1478.9
6/25/2000,1454.6
6/18/2000,1441.48
6/11/2000,1464.46
6/4/2000,1456.95
5/28/2000,1477.26
5/21/2000,1378.02
5/14/2000,1406.95
5/7/2000,1420.96
4/30/2000,1432.63
4/23/2000,1452.43
4/16/2000,1434.54
4/9/2000,1356.56
4/2/2000,1516.35
3/26/2000,1498.58
3/19/2000,1527.46
3/12/2000,1464.47
3/5/2000,1395.07
2/27/2000,1409.17
2/20/2000,1333.36
2/13/2000,1346.09
2/6/2000,1387.12
1/30/2000,1424.37
1/23/2000,1360.16
1/16/2000,1441.36
1/9/2000,1465.15
1/2/2000,1441.47
12/26/1999,1469.25
12/19/1999,1458.34
12/12/1999,1421.03
12/5/1999,1417.04
11/28/1999,1433.3
11/21/1999,1416.62
11/14/1999,1422
11/7/1999,1396.06
10/31/1999,1370.23
10/24/1999,1362.93
10/17/1999,1301.65
10/10/1999,1247.41
10/3/1999,1336.02
9/26/1999,1282.81
9/19/1999,1277.36
9/12/1999,1335.42
9/5/1999,1351.66
8/29/1999,1357.24
8/22/1999,1348.27
8/15/1999,1336.61
8/8/1999,1327.68
8/1/1999,1300.29
7/25/1999,1328.72
7/18/1999,1356.94
7/11/1999,1418.78
